iata,name,city,country,latitude,longitude
ARA,Acadiana Regional Airport,LFT,US,30.034448893905015,-91.87951346971477
ARB,Ann Arbor Municipal Airport,ARB,US,42.295744944723445,-83.74923877232511
ARC,Arctic Village Airport,ARC,US,68.1361434995388,-145.51981672014128
ARD,Alor Island Airport,ARD,ID,-8.686040359964426,124.53810396726576
ARE,Arecibo Airport,ARE,PR,18.44924082562759,-66.67509773418138
ARF,Acaricuara Airport,ARF,CO,0.532850751435345,-70.13003281261645
ARG,Walnut Ridge Airport,ARG,US,36.06196447794162,-90.94558755355307
ARH,Talagi Airport,ARH,RU,64.62964049287015,40.60551901195541
ARI,Chacalluta Airport,ARI,CL,-18.351838912968624,-70.34775875278893
ARJ,Arso Airport,ARJ,ID,-2.9335438369622624,140.78719230461778
ARK,Arusha Airport,ARK,TZ,-3.368991875325847,36.686486239796324
ARL,Arly Airport,ARL,BF,11.596665710610122,1.483960729857703
ARM,Armidale Airport,ARM,AU,-30.53291951462713,151.62754946088512
ARN,Arlanda Airport,STO,SE,59.6563680223196,17.93930914747819
ARO,Arboletas Airport,ARO,CO,8.846468696963331,-76.4325693786782
ARP,Aragip Airport,ARP,PG,-9.803308190243126,149.50187164777208
ARQ,Arauquita Airport,ARQ,CO,7.030192049949534,-71.43065109474861
ARR,Alto Rio Senguerr Airport,ARR,AR,-45.03448346226389,-70.82904120246472
ARS,Aragarcas Airport,ARS,BR,-15.905307840952368,-52.23083224349186
ART,Watertown Airport,ART,US,43.98597087749148,-76.02003961318776
ARU,Aracatuba Airport,ARU,BR,-21.147872472361723,-50.426016227018515
ARV,Noble F. Lee Airport,ARV,US,45.92256856381105,-89.73092037193635
ARW,Arad Airport,ARW,RO,46.18039795969527,21.268193084780666
ARX,Asbury Park Airport,ARX,US,40.21590794622496,-74.09490298429549
ARY,Ararat Airport,ARY,AU,-37.31674194545925,143.0045312563924
ARZ,N'Zeto Airport,ARZ,AO,-7.500017284179439,13.504615022229714
ASA,Assab International Airport,ASA,ER,13.069167410752954,42.63951861093394
ASB,Ashgabat Airport,ASB,TM,37.98137057812026,58.361480268901076
ASC,Ascension Airport,ASC,BO,-15.916767190832356,-63.14567944284733
ASD,Andros Town Airport,ASD,BS,24.694480642289403,-77.79047928756843
ASE,Aspen Airport,ASE,US,39.218959874591555,-106.86809039574095
ASF,Astrakhan Airport,ASF,RU,46.415312070914105,48.08834641754122
ASG,Ashburton Airport,ASG,NZ,-43.90002660716521,171.78420268277978
ASH,Boire Field,ASH,US,42.77702739439923,-71.5051343076476
ASI,Wideawake Field,ASI,SH,-7.969842945296167,-14.398429798716862
ASJ,Amami O Shima Airport,ASJ,JP,28.41297735286962,129.70045656460977
